Architecture,Image,Method,Z_Source,Loss_Type,Huber_Delta,TV_Weight,PSNR,SSIM,MS-SSIM,VIF,NMSE,HFEN
convdecoder,file1000033.h5,Zero-filled,n/a,n/a,n/a,n/a,28.5281933410732,0.7192383033382987,0.8984640836715698,0.4624246710488572,0.015381439317827057,0.7658333040208484
convdecoder,file1000033.h5,"ConvDecoder (random weights, 10000 iter)",uniform,huber,0.1066,0.0001305,34.32541223280999,0.7998667415101143,0.9778863191604614,0.8940525933333351,0.004048322360555293,0.30848378668111764
convdecoder,file1000041.h5,Zero-filled,n/a,n/a,n/a,n/a,21.14741241853671,0.6127592265839104,0.8285311460494995,0.4496436466203586,0.07923476382768731,0.7985379496267289
