,Mean,Std,N
PSNR,33.977854251528285,,1
SSIM,0.8807424859780115,,1
MS-SSIM,0.9752249121665955,,1
VIF,0.9138684080676571,,1
NMSE,0.003675808544101038,,1
HFEN,0.2728753518446535,,1
