,Mean,Std,N
PSNR,34.30301531403627,2.1905685817092,20
SSIM,0.8820824678268574,0.03020277638953509,20
MS-SSIM,0.9733695238828659,0.008139736943666197,20
VIF,0.8969266565746065,0.04709268234304468,20
NMSE,0.005091616288978004,0.001981538666045755,20
HFEN,0.30844311636255467,0.06809643023521099,20
