Architecture,Image,Method,Z_Source,Loss_Type,Huber_Delta,TV_Weight,PSNR,SSIM,MS-SSIM,VIF,NMSE,HFEN
convdecoder_dcse,file1000033.h5,Zero-filled,n/a,n/a,n/a,n/a,29.00685454872348,0.7877897707896854,0.9121749997138977,0.47046108549254745,0.013876647213913056,0.7658873617117113
convdecoder_dcse,file1000033.h5,"ConvDecoder (random weights, 10000 iter)",uniform,huber,0.1192,1.177e-05,36.528441404477434,0.9049217073500979,0.9814316034317017,0.9041878266800853,0.0024554204117499473,0.29804048496313856
convdecoder_dcse,file1000041.h5,Zero-filled,n/a,n/a,n/a,n/a,20.948414867577334,0.6628506294808838,0.8233304619789124,0.45390620605980686,0.08365022923932788,0.7546341199030231
