,Mean,Std,N
PSNR,34.47610814079105,2.3691923438429288,20
SSIM,0.885099824750449,0.03147061519593148,20
MS-SSIM,0.9744793266057968,0.008778750473969121,20
VIF,0.9024094344432954,0.04588709163045283,20
NMSE,0.004945729983569945,0.002420943770700455,20
HFEN,0.3022084871576874,0.0892455938455325,20
