,Mean,Std,N
PSNR,34.00979169307644,2.472869628133159,20
SSIM,0.8843491843873409,0.029460958779458635,20
MS-SSIM,0.9738888770341874,0.007593686361221916,20
VIF,0.904162901363024,0.05416027159159953,20
NMSE,0.005534396642992024,0.0024627933583676875,20
HFEN,0.3023646256174207,0.056740121430914094,20
