Architecture,Image,Method,Z_Source,Loss_Type,Huber_Delta,TV_Weight,PSNR,SSIM,MS-SSIM,VIF,NMSE,HFEN
convdecoder,file1000033.h5,Zero-filled,n/a,n/a,n/a,n/a,28.597641075052355,0.7757297505335661,0.9007570147514343,0.44711540951023876,0.015247754634616712,0.7798144505075651
convdecoder,file1000033.h5,"ConvDecoder (random weights, 10000 iter)",uniform,huber,0.02327,5.865e-05,34.366841950381335,0.8764019529923848,0.9722285866737366,0.8173008878111193,0.004039111175632384,0.3703604066156235
convdecoder,file1000041.h5,Zero-filled,n/a,n/a,n/a,n/a,23.913669249367956,0.697787716510027,0.8745137453079224,0.45163117907583344,0.04226118760951974,0.772096511644029
