,Mean,Std,N
PSNR,33.958215063974684,2.876038588289805,20
SSIM,0.8837287008345902,0.03649912733836971,20
MS-SSIM,0.9692023187875748,0.014316328156588289,20
VIF,0.8640290698546244,0.06195003262783716,20
NMSE,0.005891797672731508,0.0031362398888541447,20
HFEN,0.3115428604972592,0.10577161626702261,20
