Architecture,Image,Method,Z_Source,Loss_Type,Huber_Delta,TV_Weight,PSNR,SSIM,MS-SSIM,VIF,NMSE,HFEN
convdecoder_dcse,file1000033.h5,Zero-filled,n/a,n/a,n/a,n/a,28.27742751666122,0.768183352306561,0.8984857797622681,0.42541855727068245,0.016414484590186164,0.8013128106854337
convdecoder_dcse,file1000033.h5,"ConvDecoder (random weights, 10000 iter)",uniform,huber,0.1192,1.177e-05,35.85123926893747,0.8947361616511876,0.9777653813362122,0.8833093757251004,0.0028697632869570623,0.341127186569464
convdecoder_dcse,file1000041.h5,Zero-filled,n/a,n/a,n/a,n/a,22.21254367367598,0.6966162535166551,0.8556899428367615,0.4477743765424443,0.06252507982377252,0.7560106322741604
