Architecture,Image,Method,Z_Source,Loss_Type,Huber_Delta,TV_Weight,PSNR,SSIM,MS-SSIM,VIF,NMSE,HFEN
convdecoder_dcse,file1000033.h5,Zero-filled,n/a,n/a,n/a,n/a,28.54984103416946,0.777507908696751,0.9045935273170471,0.43854879142745357,0.015416503960125266,0.763897529223793
convdecoder_dcse,file1000033.h5,"ConvDecoder (random weights, 10000 iter)",uniform,huber,0.1192,1.177e-05,35.659973290271424,0.8843126769027714,0.9765675663948059,0.9033678860491603,0.0029989738108018977,0.30437510628391684
convdecoder_dcse,file1000041.h5,Zero-filled,n/a,n/a,n/a,n/a,22.056513123537176,0.6923379596095066,0.854464054107666,0.47018574485827574,0.06481228153836137,0.7304004161688397
