,Mean,Std,N
PSNR,34.09229680348211,2.3120259321868954,20
SSIM,0.8819567741698335,0.02977188341389376,20
MS-SSIM,0.9718760579824448,0.009905925580546959,20
VIF,0.8845946194271471,0.05907749624632782,20
NMSE,0.005674792026063432,0.0035158530207518505,20
HFEN,0.3099054475055461,0.06498324466264688,20
