,Mean,Std,N
PSNR,34.003725683516464,2.548773112919638,20
SSIM,0.8793736842366673,0.034025371707973685,20
MS-SSIM,0.9721334189176559,0.010327163311733775,20
VIF,0.8932613040073475,0.06137297651023452,20
NMSE,0.005689975124960385,0.002940587036540348,20
HFEN,0.3188938409799691,0.08288715359901708,20
