,Mean,Std,N
PSNR,31.167064060769402,3.1981298730671077,21
SSIM,0.8345591994769205,0.04522359207902062,21
MS-SSIM,0.9622914450509208,0.014705336461982034,21
VIF,0.8910203404040905,0.08633223130492484,21
NMSE,0.010907410737256575,0.006134990286320089,21
HFEN,0.36560936230221197,0.10081691007313837,21
