,Mean,Std,N
PSNR,33.87985742540084,2.429926044122804,20
SSIM,0.8745538518507306,0.03557280735394207,20
MS-SSIM,0.9700635671615601,0.010557251888635358,20
VIF,0.8902454607411636,0.05831197581586633,20
NMSE,0.005452744861367768,0.002257913079914476,20
HFEN,0.3244954399161786,0.08261604579605734,20
