PSNR,SSIM,MS-SSIM,VIF,NMSE,HFEN,Image,Exponent
32.32510683336638,0.8302086399673536,0.9622372388839722,0.8312552622560182,0.008500543129260142,0.36096608167135025,file1000031.h5,0.0
32.324255984535675,0.8302096618849639,0.9622379541397095,0.8311675488028708,0.008502208677874074,0.3609422862232243,file1000031.h5,0.25
32.32336758973937,0.8302101210422649,0.9622383713722229,0.8310790970590749,0.008503948071504222,0.3609205440441532,file1000031.h5,0.5
32.3224412515785,0.8302100094298595,0.962238609790802,0.8309899125208283,0.008505762133651593,0.36090089563496724,file1000031.h5,0.75
32.32147657539583,0.8302093165004909,0.9622384905815125,0.8309000011967688,0.008507651685063521,0.36088338016195387,file1000031.h5,1.0
32.32047313839526,0.8302080281896248,0.9622381925582886,0.8308093720218271,0.008509617604306017,0.36086803620705626,file1000031.h5,1.25
32.319430492007236,0.8302061301797192,0.9622374176979065,0.830718037627046,0.008511660823265302,0.3608549012613815,file1000031.h5,1.5
32.31722585120905,0.8302004593620659,0.9622350931167603,0.8305333105354704,0.008515982756710401,0.36083540064055103,file1000031.h5,2.0
32.3123297230359,0.8301813728503963,0.9622263312339783,0.8301559853176217,0.00852558887809064,0.36082442243070095,file1000031.h5,3.0
36.38386115624578,0.9036973793286378,0.9798362255096436,0.8790941482134191,0.0025385392728297404,0.27897802215278217,file1000033.h5,0.0
36.38314144652857,0.9036931800785293,0.9798316359519958,0.8790894147583428,0.0025389599926068014,0.2790064303425832,file1000033.h5,0.25
36.382413277944075,0.9036888804166567,0.9798271656036377,0.8790846480751556,0.002539385728134244,0.27903531591256414,file1000033.h5,0.5
36.381676607879385,0.9036844794587564,0.97982257604599,0.8790798480372637,0.0025398165068323355,0.27906468135336826,file1000033.h5,0.75
36.38093139463972,0.9036799763304583,0.9798178672790527,0.8790750145026865,0.0025402523556311567,0.2790945291116661,file1000033.h5,1.0
36.3801775974565,0.903675370166981,0.9798128008842468,0.8790701473143825,0.0025406933009659424,0.27912486158855226,file1000033.h5,1.25
36.379415176497005,0.9036706601129761,0.9798082709312439,0.8790652463025609,0.002541139368771496,0.2791556811375364,file1000033.h5,1.5
36.37786430865967,0.9036609249595194,0.9797982573509216,0.8790553420799755,0.0025420469729955128,0.2792187906121568,file1000033.h5,2.0
36.374657441799876,0.903640171399817,0.9797782897949219,0.879035119333012,0.002543924734981758,0.27935095194065845,file1000033.h5,3.0
32.76470127219006,0.8625181253078434,0.9651538729667664,0.8830656564250202,0.0086951808225138,0.37296921467320426,file1000071.h5,0.0
32.77219969359309,0.8625440821263963,0.9651669859886169,0.883042849252196,0.008680180890760244,0.37298301477294216,file1000071.h5,0.25
32.7796181107653,0.8625637545792302,0.9651772975921631,0.8830149369364745,0.008665366464094361,0.3730155860994198,file1000071.h5,0.5
32.786949856463934,0.8625770949416343,0.9651849865913391,0.8829819350982144,0.008650749961092913,0.3730670613278544,file1000071.h5,0.75
