,Mean,Std,N
PSNR,33.94948335151805,2.5163419884933202,20
SSIM,0.8828483592833167,0.029863455114062982,20
MS-SSIM,0.9725957095623017,0.008357456300489808,20
VIF,0.9090714592204036,0.042857055731292094,20
NMSE,0.00595056729322969,0.0035080958841134375,20
HFEN,0.31941793501327326,0.06979091766152415,20
